month,soc2d_code,employment_nsa,employment_sa,active_postings_nsa,active_postings_sa,soc2d_name,count,salary_nsa,salary_sa,rl_hiring_rate_nsa,rl_attrition_rate_nsa,rl_hiring_rate,rl_attrition_rate
2022-07-01,21,3683176,3677898,465466.0,472994.2797609164,Community and Social Service,117526.0,59451.0,59567.0,0.4047363802169416,0.3789473716507536,0.3919770228529399,0.3449806119228379
2022-08-01,21,3716307,3691985,483372.0,447648.1070503882,Community and Social Service,132102.0,61135.0,60826.0,0.5998021559176225,0.4930021814608202,0.4059761045890225,0.3601911493974135
2022-09-01,21,3706904,3704307,470965.0,503601.17300480255,Community and Social Service,132513.0,59893.0,60297.0,0.4116607900655602,0.4421903142280433,0.3837357532244085,0.3438196537732257
2022-10-01,21,3722436,3718825,507359.0,515812.1392979352,Community and Social Service,122781.0,61001.0,61026.0,0.3573822313369257,0.307535790227412,0.394257011522972,0.3474129662262899
2022-11-01,21,3732073,3732144,514852.0,541627.6091594031,Community and Social Service,111892.0,61420.0,61172.0,0.2804469256528036,0.2495568841964423,0.3906988328039107,0.3478739308452076
2022-12-01,21,3739100,3745034,529604.0,553073.0899573198,Community and Social Service,113906.0,63075.0,61477.0,0.2581241058108698,0.235984730723969,0.3662854502997369,0.3249814938493225
2023-01-01,21,3759359,3759351,548761.0,550120.5604536993,Community and Social Service,135184.0,62557.0,62088.0,0.4960853165377218,0.4321764493161437,0.3852181968879413,0.3395176553208622
2023-02-01,21,3763495,3772908,533059.0,529700.318009205,Community and Social Service,132791.0,64033.0,64379.0,0.289714632335544,0.2767392270981589,0.3814322211935751,0.3383148531750906
2023-03-01,21,3774952,3785837,590664.0,570898.9801188062,Community and Social Service,149558.0,64178.0,64840.0,0.3012576584179995,0.2650521703881258,0.3740254868201411,0.3330462231733705
2023-04-01,21,3782115,3794232,560517.0,560794.8005143533,Community and Social Service,136427.0,64202.0,64884.0,0.2890779875809501,0.2666984933556323,0.3574931024804318,0.3309433559452341
2023-05-01,21,3810336,3813854,545635.0,530085.7452216353,Community and Social Service,144753.0,64863.0,64429.0,0.4390370933241397,0.3503309876561374,0.3954380141076351,0.3337006553069649
2023-06-01,21,3839182,3830794,563323.0,566968.8834282974,Community and Social Service,146094.0,65331.0,65176.0,0.4842566938970638,0.394331039161163,0.3840998521153287,0.3310367293863452
2023-07-01,21,3849463,3847300,544647.0,553149.5167253689,Community and Social Service,126531.0,64452.0,64701.0,0.4017064024180261,0.3700460100398017,0.3849768083238324,0.3334941582702379
2023-08-01,21,3880517,3858464,556682.0,523313.87223309145,Community and Social Service,149496.0,63926.0,64195.0,0.5467727948705634,0.4508034408565602,0.3681775967737157,0.3334596153856418
2023-09-01,21,3871378,3869267,551237.0,543095.0530557861,Community and Social Service,133900.0,65512.0,65913.0,0.3867697022604682,0.415488242249483,0.3558467994136817,0.3223439203406477
