soc6,title,mapping_confidence,data_confidence_score,career_evidence_index_beta,market_opportunity_score,growth_score,opening_score,wage_score,future_skill_fit_score,ai_potential_exposure_score,ai_observed_usage_score,HumanMoat_seed_equal_weight,Physicality,Judgment,Interaction,Responsibility,Context,"Employment, 2025","Employment change, percent, 2025–35","Occupational openings, 2025–35 annual average","Median annual wage, dollars, 2025","Occupational transfer rate, 2025–35 annual average",Typical education needed for entry,career_evidence_index_percentile_rank,market_opportunity_percentile_rank,future_skill_fit_percentile_rank,human_structure_percentile_rank,evidence_coverage_pct,data_confidence_label,ilo_pct,anthropic_pct,exposure_gap,abs_exposure_gap,2025 National Employment Matrix occupation code,bls_ai_mention_count,bls_ai_mention,decision_social_context_score,embodied_physicality_score,soc2d_code,soc2d_name,employment_common_2022_annualized_pct,postings_common_2022_annualized_pct,salary_common_2022_annualized_pct,rl_hiring_rate_common_2022_mean,rl_attrition_rate_common_2022_mean,net_hiring_rate_common_2022_mean
11-1011,Chief Executives | Chief Sustainability Officers,B,100.0,68.6,38.8,54.2,19.9,97.3,89.6,32.8,3.3,64.1053787047201,26.92096597145993,82.83937065495792,76.94840834248079,56.47639956092207,77.34174899377973,291.6,3.2,19.1,213990.0,3.5,Bachelor's degree,90.47619047619048,31.746031746031743,100.0,80.6615776081425,100.0,A,62.85714285714285,61.70634920634921,-1.150793650793645,1.150793650793645,,0,0,73.40148188803512,26.92096597145993,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-1021,General and Operations Managers,C,100.0,72.3,59.6,71.4,45.1,86.8,76.9,40.0,13.8,71.63666300768388,30.625686059275523,89.00475667764363,86.20197585071351,60.455543358946215,91.89535309184048,3599.0,5.0,285.0,105770.0,5.1,Bachelor's degree,95.63492063492065,67.3992673992674,90.29304029304028,90.0763358778626,100.0,A,81.30952380952381,80.02645502645503,-1.283068783068785,1.283068783068785,,0,0,81.88940724478596,30.625686059275523,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-1031,Legislators,B,0.0,,,,,,,27.2,0.0,,,,,,,,,,,,,,,,,0.0,D,49.16666666666666,27.24867724867725,-21.91798941798941,21.91798941798941,,0,0,,,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-2011,Advertising and Promotions Managers,A,100.0,56.1,20.6,15.3,27.1,93.1,70.6,38.8,17.3,57.48627881448958,32.619831686791066,78.3022319795097,63.611416026344685,44.182217343578486,68.71569703622393,33.2,-3.7,2.3,133660.0,5.2,Bachelor's degree,64.41798941798942,7.814407814407814,81.07448107448107,67.68447837150127,100.0,A,77.5,82.4074074074074,4.907407407407405,4.907407407407405,11-2011,1,1,63.7028905964142,32.619831686791066,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-2021,Marketing Managers,A,100.0,75.3,67.8,84.7,47.1,96.3,75.7,41.2,32.0,61.74716428832784,23.87486278814489,61.74533479692645,64.48957189901208,79.33589462129528,79.29015733626052,421.6,6.9,34.0,166790.0,5.2,Bachelor's degree,98.015873015873,79.12087912087912,89.13308913308914,76.33587786259542,100.0,A,82.20238095238095,92.5925925925926,10.390211640211646,10.390211640211646,,0,0,71.21523966337358,23.87486278814489,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-2022,Sales Managers,A,100.0,68.3,51.7,67.5,32.5,95.3,74.4,41.2,4.3,57.20490303695573,14.233443102817418,73.96633735821443,84.09440175631174,41.90450054884742,71.82583241858764,650.1,4.5,47.3,148270.0,4.8,Bachelor's degree,90.21164021164022,53.47985347985348,86.99633699633699,66.2849872773537,100.0,A,82.20238095238095,64.81481481481481,-17.38756613756614,17.38756613756614,,0,0,67.94776802049032,14.233443102817418,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-2032,Public Relations Managers,B,100.0,69.6,59.8,77.3,38.3,94.8,69.4,39.2,23.2,55.384193194292,12.605195755579947,71.05744603000365,72.33809001097696,54.967069154774975,65.9531650201244,80.8,5.7,6.1,146910.0,4.7,Bachelor's degree,92.3941798941799,67.64346764346764,78.32722832722833,62.34096692111959,100.0,A,79.10714285714285,86.64021164021165,7.533068783068799,7.533068783068799,,0,0,66.07894255397,12.605195755579947,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-2033,Fundraising Managers,B,100.0,68.2,58.4,74.3,38.9,91.6,67.7,39.2,,56.39077936333699,27.808269301134285,53.01866081229419,83.32601536772776,56.09220636663008,61.70874496889865,48.8,5.4,3.7,125470.0,4.7,Bachelor's degree,90.0132275132275,65.44566544566544,75.21367521367522,65.13994910941476,100.0,A,79.10714285714285,,,,,0,0,63.53640687888768,27.808269301134285,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-3012,Administrative Services Managers,A,100.0,68.6,60.1,73.0,44.4,89.2,67.9,41.9,0.0,58.6977680204903,56.71423344310282,55.41529454811562,75.14818880351262,46.40504939626784,59.80607391145261,279.0,5.2,22.0,114130.0,4.2,Bachelor's degree,90.47619047619048,68.00976800976801,75.94627594627595,70.48346055979644,100.0,A,83.03571428571429,27.24867724867725,-55.78703703703704,55.78703703703704,,0,0,59.19365166483717,56.71423344310282,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-3013,Facilities Managers | Security Managers,A,100.0,71.9,61.8,67.9,54.3,87.6,74.2,41.9,13.4,67.51628247347239,59.05598243688255,73.06988657153312,75.02195389681668,59.38529088913282,71.04829857299671,165.9,4.6,14.2,106660.0,4.4,Bachelor's degree,95.23809523809524,70.75702075702075,86.81318681318682,84.98727735368958,100.0,A,83.03571428571429,79.4973544973545,-3.5383597883597986,3.5383597883597986,,0,0,69.63135748261983,59.05598243688255,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
