outcome,ai_source,hm_spec,interaction,controls,winsor,weighted,high_mapping_conf,term,std_beta,robust_se,p_value,n,r2,adj_r2,p_fdr_bh
growth,ilo_exposure_mean,HM_equal_z,False,True,False,False,False,AI,-0.1745973304489219,0.0770980389215586,0.0235363514423265,571,0.3736921028592493,0.3437582695400223,0.0916040705491497
growth,ilo_exposure_mean,HM_equal_z,False,True,False,False,False,HM,0.0700404403741755,0.0469544290987041,0.1357860845389513,571,0.3736921028592493,0.3437582695400223,0.2778767631024278
growth,ilo_exposure_mean,HM_equal_z,False,True,False,False,False,log_emp,0.1981597048507554,0.0394866917852557,5.210572637482654e-07,571,0.3736921028592493,0.3437582695400223,
growth,ilo_exposure_mean,HM_equal_z,False,True,False,False,False,education_ord,0.1753594594700388,0.0660795100390382,0.0079599353328891,571,0.3736921028592493,0.3437582695400223,
growth,ilo_exposure_mean,HM_equal_z,False,True,False,False,False,self_emp,0.0111049456030728,0.0375919463587401,0.7676825496053288,571,0.3736921028592493,0.3437582695400223,
growth,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,AI,-0.1755925235962068,0.0795877041400299,0.0273646086004886,571,0.3736962640091662,0.34255408929139,0.1030197029665456
growth,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,HM,0.0698026168105087,0.0480101940002474,0.1459705920406693,571,0.3736962640091662,0.34255408929139,0.2910111537140714
growth,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,AIxHM,-0.002439366075148,0.0496307358141154,0.9607995098529164,571,0.3736962640091662,0.34255408929139,0.9760502957235976
growth,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,log_emp,0.1983005109729345,0.0396243173984641,5.600270319903447e-07,571,0.3736962640091662,0.34255408929139,
growth,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,education_ord,0.1750325893255955,0.0663079481519871,0.0082981296792572,571,0.3736962640091662,0.34255408929139,
growth,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,self_emp,0.011005854093561,0.0378458004190823,0.7711983167921209,571,0.3736962640091662,0.34255408929139,
growth,ilo_exposure_mean,HM_PCA1,False,True,False,False,False,AI,-0.1864684852758582,0.0764541568700225,0.0147296759684063,571,0.3729002963679549,0.3429286193561293,0.0663739088644502
growth,ilo_exposure_mean,HM_PCA1,False,True,False,False,False,HM,0.0616503216527221,0.0469990984579626,0.1896098558722467,571,0.3729002963679549,0.3429286193561293,0.3370841882173276
growth,ilo_exposure_mean,HM_PCA1,False,True,False,False,False,log_emp,0.1989073158214833,0.0395336014569698,4.870425762312276e-07,571,0.3729002963679549,0.3429286193561293,
growth,ilo_exposure_mean,HM_PCA1,False,True,False,False,False,education_ord,0.171173686989645,0.0672987362140344,0.0109751084481228,571,0.3729002963679549,0.3429286193561293,
growth,ilo_exposure_mean,HM_PCA1,False,True,False,False,False,self_emp,0.0092150790711894,0.0375820699028213,0.8063024925264033,571,0.3729002963679549,0.3429286193561293,
growth,ilo_exposure_mean,HM_PCA1,True,True,False,False,False,AI,-0.188044326817059,0.0773378233051602,0.015037838727102,571,0.3729331974104044,0.3417530801545682,0.0663739088644502
growth,ilo_exposure_mean,HM_PCA1,True,True,False,False,False,HM,0.0605838657918824,0.0486611308168787,0.2131260249627758,571,0.3729331974104044,0.3417530801545682,0.367392314475169
growth,ilo_exposure_mean,HM_PCA1,True,True,False,False,False,AIxHM,-0.0071406050333849,0.0494458294662215,0.8851746000161289,571,0.3729331974104044,0.3417530801545682,0.9211573073338576
growth,ilo_exposure_mean,HM_PCA1,True,True,False,False,False,log_emp,0.1991717347751778,0.0395930891614877,4.892861928224259e-07,571,0.3729331974104044,0.3417530801545682,
growth,ilo_exposure_mean,HM_PCA1,True,True,False,False,False,education_ord,0.1705272366326037,0.0673070993737651,0.0112907240045603,571,0.3729331974104044,0.3417530801545682,
growth,ilo_exposure_mean,HM_PCA1,True,True,False,False,False,self_emp,0.0088930301507295,0.0378373353115458,0.8141829618581697,571,0.3729331974104044,0.3417530801545682,
growth,observed_exposure,HM_equal_z,False,True,False,False,False,AI,-0.0801032547720211,0.0538122112748079,0.1366005803793109,565,0.3695433238952074,0.3390751573920018,0.2778767631024278
growth,observed_exposure,HM_equal_z,False,True,False,False,False,HM,0.0790232511225755,0.0475277437351295,0.0963772571061584,565,0.3695433238952074,0.3390751573920018,0.2235767237069247
growth,observed_exposure,HM_equal_z,False,True,False,False,False,log_emp,0.2018879573216644,0.0402000577094119,5.111454214088453e-07,565,0.3695433238952074,0.3390751573920018,
growth,observed_exposure,HM_equal_z,False,True,False,False,False,education_ord,0.1597838775128379,0.0650123241296724,0.0139811433230895,565,0.3695433238952074,0.3390751573920018,
growth,observed_exposure,HM_equal_z,False,True,False,False,False,self_emp,0.0244257387242032,0.0377516386992216,0.5176245976721796,565,0.3695433238952074,0.3390751573920018,
growth,observed_exposure,HM_equal_z,True,True,False,False,False,AI,-0.0695434355744077,0.0579129700796216,0.2298184671195569,565,0.3697546215684173,0.3380663064517455,0.3870626814645169
growth,observed_exposure,HM_equal_z,True,True,False,False,False,HM,0.0805348738996506,0.0487243515277844,0.0983579297138035,565,0.3697546215684173,0.3380663064517455,0.2235767237069247
growth,observed_exposure,HM_equal_z,True,True,False,False,False,AIxHM,0.0174207793792591,0.0528388281725759,0.7416292604728769,565,0.3697546215684173,0.3380663064517455,0.8501114996941016
growth,observed_exposure,HM_equal_z,True,True,False,False,False,log_emp,0.1997966211757133,0.040037136254117,6.029104666795972e-07,565,0.3697546215684173,0.3380663064517455,
growth,observed_exposure,HM_equal_z,True,True,False,False,False,education_ord,0.1605203593529932,0.0653280668148425,0.0140047182666893,565,0.3697546215684173,0.3380663064517455,
growth,observed_exposure,HM_equal_z,True,True,False,False,False,self_emp,0.024988540610774,0.0376913859838213,0.5073449685138705,565,0.3697546215684173,0.3380663064517455,
growth,observed_exposure,HM_PCA1,False,True,False,False,False,AI,-0.0878215214769443,0.0533226594342645,0.0995615097757399,565,0.3681987373289482,0.3376655908058119,0.2235767237069247
growth,observed_exposure,HM_PCA1,False,True,False,False,False,HM,0.0652954318720246,0.0474973140049657,0.1692187621704476,565,0.3681987373289482,0.3376655908058119,0.3139130660553231
growth,observed_exposure,HM_PCA1,False,True,False,False,False,log_emp,0.2036954310125618,0.0402848049106113,4.272812309858453e-07,565,0.3681987373289482,0.3376655908058119,
growth,observed_exposure,HM_PCA1,False,True,False,False,False,education_ord,0.1556724751054939,0.0664612937704708,0.019165158476928,565,0.3681987373289482,0.3376655908058119,
growth,observed_exposure,HM_PCA1,False,True,False,False,False,self_emp,0.0233856528903353,0.0379055509930471,0.5372707822514354,565,0.3681987373289482,0.3376655908058119,
growth,observed_exposure,HM_PCA1,True,True,False,False,False,AI,-0.076865007384179,0.0531048102772315,0.1477791014954269,565,0.3691001750425594,0.3373789547933026,0.2910111537140714
growth,observed_exposure,HM_PCA1,True,True,False,False,False,HM,0.0702125669607634,0.0494851866965467,0.1559397477905139,565,0.3691001750425594,0.3373789547933026,0.2973307022990549
growth,observed_exposure,HM_PCA1,True,True,False,False,False,AIxHM,0.0391068930185663,0.0555113554385265,0.4811310597679243,565,0.3691001750425594,0.3373789547933026,0.6842752850032702
growth,observed_exposure,HM_PCA1,True,True,False,False,False,log_emp,0.1999166210541872,0.0399893501095169,5.755476704350003e-07,565,0.3691001750425594,0.3373789547933026,
growth,observed_exposure,HM_PCA1,True,True,False,False,False,education_ord,0.1566313998076462,0.0668239320017759,0.0190811544882975,565,0.3691001750425594,0.3373789547933026,
growth,observed_exposure,HM_PCA1,True,True,False,False,False,self_emp,0.0249556443352057,0.0376357181282064,0.5072767264253866,565,0.3691001750425594,0.3373789547933026,
opening_rate,ilo_exposure_mean,HM_equal_z,False,True,False,False,False,AI,-0.1141486362267853,0.0570740281356845,0.0454991666534863,571,0.6114612492305573,0.5928913824658413,0.1386641269439584
opening_rate,ilo_exposure_mean,HM_equal_z,False,True,False,False,False,HM,-0.1051229769511887,0.0407155526537029,0.0098261606865216,571,0.6114612492305573,0.5928913824658413,0.0552299038943783
opening_rate,ilo_exposure_mean,HM_equal_z,False,True,False,False,False,log_emp,0.0243686378137617,0.0351577703315791,0.4882327474257297,571,0.6114612492305573,0.5928913824658413,
opening_rate,ilo_exposure_mean,HM_equal_z,False,True,False,False,False,education_ord,-0.509357558033691,0.0623051579705686,2.9535856833555037e-16,571,0.6114612492305573,0.5928913824658413,
opening_rate,ilo_exposure_mean,HM_equal_z,False,True,False,False,False,self_emp,-0.0651469925691561,0.038338263930119,0.0892686622300997,571,0.6114612492305573,0.5928913824658413,
opening_rate,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,AI,-0.1414665203644978,0.0593777131453691,0.0171962250996251,571,0.6145966475875804,0.595432944981438,0.0733705604250671
opening_rate,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,HM,-0.1116511936849846,0.0398878041057303,0.0051240325981787,571,0.6145966475875804,0.595432944981438,0.0345197985561517
opening_rate,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,AIxHM,-0.066960187569796,0.0318352315536712,0.03543641145864,571,0.6145966475875804,0.595432944981438,0.1163041196591261
opening_rate,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,log_emp,0.0282337421325112,0.0349311735474658,0.4189364457144292,571,0.6145966475875804,0.595432944981438,
opening_rate,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,education_ord,-0.5183300883996216,0.0613880325559522,3.0796425504529574e-17,571,0.6145966475875804,0.595432944981438,
opening_rate,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,self_emp,-0.0678670378018428,0.0384299847208917,0.0773972249706739,571,0.6145966475875804,0.595432944981438,
opening_rate,ilo_exposure_mean,HM_PCA1,False,True,False,False,False,AI,-0.100480822631817,0.0554880399767907,0.0701632217994412,571,0.6126712984083733,0.5941592648764206,0.18710192479851
opening_rate,ilo_exposure_mean,HM_PCA1,False,True,False,False,False,HM,-0.1183403732801016,0.0420137495735867,0.0048518942941572,571,0.6126712984083733,0.5941592648764206,0.034502359425118
opening_rate,ilo_exposure_mean,HM_PCA1,False,True,False,False,False,log_emp,0.0242730373768946,0.034947022443371,0.487326899196984,571,0.6126712984083733,0.5941592648764206,
opening_rate,ilo_exposure_mean,HM_PCA1,False,True,False,False,False,education_ord,-0.4932773245428078,0.0641101733881798,1.423678059310948e-14,571,0.6126712984083733,0.5941592648764206,
opening_rate,ilo_exposure_mean,HM_PCA1,False,True,False,False,False,self_emp,-0.0634800683135681,0.0379905633317113,0.0947329242965911,571,0.6126712984083733,0.5941592648764206,
opening_rate,ilo_exposure_mean,HM_PCA1,True,True,False,False,False,AI,-0.1204894848656163,0.0564230092843331,0.0327228677785343,571,0.6179755079780018,0.5989798150045322,0.1132034344770917
opening_rate,ilo_exposure_mean,HM_PCA1,True,True,False,False,False,HM,-0.1318813001746921,0.0406849001829481,0.001188901691899,571,0.6179755079780018,0.5989798150045322,0.0108699583259343
opening_rate,ilo_exposure_mean,HM_PCA1,True,True,False,False,False,AIxHM,-0.0906651782699256,0.0314937203495789,0.0039914896049429,571,0.6179755079780018,0.5989798150045322,0.0300535687901585
opening_rate,ilo_exposure_mean,HM_PCA1,True,True,False,False,False,log_emp,0.0276303987576744,0.0345867136290605,0.4243639375136091,571,0.6179755079780018,0.5989798150045322,
opening_rate,ilo_exposure_mean,HM_PCA1,True,True,False,False,False,education_ord,-0.5014853876676737,0.0631056403506781,1.9145258989192427e-15,571,0.6179755079780018,0.5989798150045322,
opening_rate,ilo_exposure_mean,HM_PCA1,True,True,False,False,False,self_emp,-0.0675691647765084,0.0382467001661319,0.0772840930973225,571,0.6179755079780018,0.5989798150045322,
opening_rate,observed_exposure,HM_equal_z,False,True,False,False,False,AI,-0.0157738623185441,0.0407900725641907,0.6989721217982199,565,0.6071253335048625,0.588138825458629,0.8501114996941016
opening_rate,observed_exposure,HM_equal_z,False,True,False,False,False,HM,-0.0860499413007456,0.0408457187442604,0.0351430281674156,565,0.6071253335048625,0.588138825458629,0.1163041196591261
opening_rate,observed_exposure,HM_equal_z,False,True,False,False,False,log_emp,0.0146725402781145,0.0361787599118991,0.6850683129534523,565,0.6071253335048625,0.588138825458629,
